case,algorithm,mean_S_reward,mean_process_time,process_runs,mean_R_reward,n_Tasks,n_Agents,caseData
1,Random,-4.143567237573405,3.3348401387532553e-06,30.0,0.3518643371459481,30,1,"{'case': 1, 'F1': 0, 'R1': 1, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
1,Swarm-GAP,-10.741331098410862,9.9807341893514e-05,178.5,0.28609391085640773,30,1,"{'case': 1, 'F1': 0, 'R1': 1, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
1,CBBA,-8.4022177017733,0.20899946689605714,1.0,0.26032874227200614,30,1,"{'case': 1, 'F1': 0, 'R1': 1, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
1,TBTA,66.06410650015863,0.0021076191266377765,30.0,0.6359509690732736,30,1,"{'case': 1, 'F1': 0, 'R1': 1, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
3,Random,24.609489289693638,3.666877746582032e-06,30.0,0.44244617028495425,30,3,"{'case': 2, 'F1': 1, 'R1': 2, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
3,Swarm-GAP,97.05623138498088,0.00013950802094506143,31.14,0.6486712197737556,30,3,"{'case': 2, 'F1': 1, 'R1': 2, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
3,CBBA,66.42106691483269,0.25691927433013917,1.0,0.5915914093131863,30,3,"{'case': 2, 'F1': 1, 'R1': 2, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
3,TBTA,152.34955119675706,0.0016286323865254723,30.0,0.7924094248017823,30,3,"{'case': 2, 'F1': 1, 'R1': 2, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
4,Random,49.175271265055656,3.665526707967122e-06,30.0,0.5275259841352379,30,4,"{'case': 3, 'F1': 1, 'R1': 3, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
4,Swarm-GAP,125.27738264498848,0.0001170461224364089,34.79,0.7342698667119256,30,4,"{'case': 3, 'F1': 1, 'R1': 3, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
4,CBBA,102.30800660130919,0.18563935279846192,1.0,0.6759566505580539,30,4,"{'case': 3, 'F1': 1, 'R1': 3, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
4,TBTA,169.84751465338996,0.0016828052997589116,30.0,0.8439604337466882,30,4,"{'case': 3, 'F1': 1, 'R1': 3, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
6,Random,66.13667419810463,4.000743230183919e-06,30.0,0.5555011121494319,30,6,"{'case': 4, 'F1': 2, 'R1': 4, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
6,Swarm-GAP,133.03105967034548,0.0001628315269306142,31.74,0.7483217630756255,30,6,"{'case': 4, 'F1': 2, 'R1': 4, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
6,CBBA,131.41910860668128,0.19176703214645385,1.0,0.7340863619342146,30,6,"{'case': 4, 'F1': 2, 'R1': 4, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
6,TBTA,158.62406196530918,0.003364001274108887,30.0,0.839682561836398,30,6,"{'case': 4, 'F1': 2, 'R1': 4, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
7,Random,86.6107010627917,5.326747894287109e-06,30.0,0.6132678823035094,30,7,"{'case': 5, 'F1': 2, 'R1': 5, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
7,Swarm-GAP,144.32775992917465,0.00013803257565582315,32.64,0.7819229585823725,30,7,"{'case': 5, 'F1': 2, 'R1': 5, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
7,CBBA,142.8128138529938,0.2263096570968628,1.0,0.7676147185737092,30,7,"{'case': 5, 'F1': 2, 'R1': 5, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
7,TBTA,162.99273379966783,0.0023806533813476556,30.0,0.8577857326406086,30,7,"{'case': 5, 'F1': 2, 'R1': 5, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
9,Random,91.4386904582714,3.213167190551758e-06,30.0,0.6297708020077788,30,9,"{'case': 6, 'F1': 3, 'R1': 6, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
9,Swarm-GAP,138.07506066819673,0.00013876225691712867,31.42,0.7904597992511184,30,9,"{'case': 6, 'F1': 3, 'R1': 6, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
9,CBBA,151.7936769128651,0.15069713115692138,1.0,0.799277993845563,30,9,"{'case': 6, 'F1': 3, 'R1': 6, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
9,TBTA,153.1735295555975,0.001994592587153117,30.0,0.854776423901365,30,9,"{'case': 6, 'F1': 3, 'R1': 6, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
10,Random,84.63886881573715,3.6621888478597005e-06,30.0,0.6084461447985838,30,10,"{'case': 7, 'F1': 3, 'R1': 7, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
10,Swarm-GAP,148.7928384626581,0.00013079766261487745,33.78,0.8184934820806258,30,10,"{'case': 7, 'F1': 3, 'R1': 7, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
10,CBBA,157.66114037818778,0.13892317056655884,1.0,0.8144791116774337,30,10,"{'case': 7, 'F1': 3, 'R1': 7, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
10,TBTA,160.58995789272166,0.0017603338559468587,30.0,0.8690455735836597,30,10,"{'case': 7, 'F1': 3, 'R1': 7, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
12,Random,86.97122862913847,3.332297007242838e-06,30.0,0.633932602746651,30,12,"{'case': 8, 'F1': 4, 'R1': 8, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
12,Swarm-GAP,139.16773869562786,0.00013815060311320865,33.92,0.8065818556447887,30,12,"{'case': 8, 'F1': 4, 'R1': 8, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
12,CBBA,159.24110705713395,0.14492974519729615,1.0,0.8325414227282875,30,12,"{'case': 8, 'F1': 4, 'R1': 8, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
12,TBTA,149.95634292051503,0.0018370316028594972,30.0,0.8394916264367573,30,12,"{'case': 8, 'F1': 4, 'R1': 8, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
13,Random,100.43266226778343,4.66616948445638e-06,30.0,0.6897182220994479,30,13,"{'case': 9, 'F1': 4, 'R1': 9, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
13,Swarm-GAP,150.89162878351277,0.0001295725544565477,32.96,0.847420888821673,30,13,"{'case': 9, 'F1': 4, 'R1': 9, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
13,CBBA,163.07628786653243,0.12506922245025634,1.0,0.8471911977248513,30,13,"{'case': 9, 'F1': 4, 'R1': 9, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
13,TBTA,150.95126711310547,0.00289234733581543,30.0,0.8748215362652023,30,13,"{'case': 9, 'F1': 4, 'R1': 9, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
15,Random,92.97412826095022,7.670640945434569e-06,30.0,0.65981437911231,30,15,"{'case': 10, 'F1': 5, 'R1': 10, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
15,Swarm-GAP,145.63044203317378,0.00013395413180334866,33.56,0.8628609053473947,30,15,"{'case': 10, 'F1': 5, 'R1': 10, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
15,CBBA,166.4040228193057,0.12410943031311035,1.0,0.861261865570457,30,15,"{'case': 10, 'F1': 5, 'R1': 10, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
15,TBTA,153.15079488202818,0.002712047894795735,30.0,0.8757538816167006,30,15,"{'case': 10, 'F1': 5, 'R1': 10, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
16,Random,94.08645869264963,3.0057430267333987e-06,30.0,0.6696375752448042,30,16,"{'case': 11, 'F1': 5, 'R1': 11, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
16,Swarm-GAP,145.7613662367511,0.000119050905068823,35.38,0.8644745426514594,30,16,"{'case': 11, 'F1': 5, 'R1': 11, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
16,CBBA,168.46297424103807,0.1108499026298523,1.0,0.8788056786322654,30,16,"{'case': 11, 'F1': 5, 'R1': 11, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
16,TBTA,156.15401943210375,0.0017774131298065182,30.0,0.8746510884018606,30,16,"{'case': 11, 'F1': 5, 'R1': 11, 'F2': 0, 'R2': 0, 'Att': 6, 'Rec': 24}"
