
Best Saved


Epoch #1:  70%|#######   | 4200/6000 [00:06<00:02, 810.90it/s, agent0/loss=31.324, env_step=4200, gradient_step=70, len=6, n/ep=100, n/st=600, rew=2.23]
Epoch #1: 6001it [00:08, 735.54it/s, agent0/loss=30.979, env_step=6000, gradient_step=100, len=6, n/ep=100, n/st=600, rew=1.51]



Epoch #2:  80%|########  | 4800/6000 [00:05<00:01, 862.86it/s, agent0/loss=30.648, env_step=10800, gradient_step=180, len=6, n/ep=100, n/st=600, rew=1.63]
Epoch #2: 6001it [00:07, 806.76it/s, agent0/loss=30.928, env_step=12000, gradient_step=200, len=6, n/ep=100, n/st=600, rew=1.84]



Epoch #3:  90%|######### | 5400/6000 [00:06<00:00, 789.97it/s, agent0/loss=31.038, env_step=16800, gradient_step=280, len=6, n/ep=100, n/st=600, rew=2.06]
Epoch #3: 6001it [00:07, 801.04it/s, agent0/loss=31.381, env_step=18000, gradient_step=300, len=6, n/ep=100, n/st=600, rew=2.16]



Epoch #4: 100%|##########| 6000/6000 [00:07<00:00, 839.39it/s, agent0/loss=29.332, env_step=23400, gradient_step=390, len=6, n/ep=100, n/st=600, rew=2.17]
Epoch #4: 6001it [00:07, 813.95it/s, agent0/loss=28.613, env_step=24000, gradient_step=400, len=6, n/ep=100, n/st=600, rew=1.92]


Epoch #5:  80%|########  | 4800/6000 [00:05<00:01, 850.53it/s, agent0/loss=28.966, env_step=28800, gradient_step=480, len=6, n/ep=100, n/st=600, rew=1.38]
Epoch #5: 6001it [00:07, 810.96it/s, agent0/loss=28.700, env_step=30000, gradient_step=500, len=6, n/ep=100, n/st=600, rew=2.05]



Epoch #6:  80%|########  | 4800/6000 [00:06<00:01, 777.07it/s, agent0/loss=27.729, env_step=34800, gradient_step=580, len=6, n/ep=100, n/st=600, rew=2.15]
Epoch #6: 6001it [00:07, 798.76it/s, agent0/loss=27.299, env_step=36000, gradient_step=600, len=6, n/ep=100, n/st=600, rew=2.08]



Epoch #7:  90%|######### | 5400/6000 [00:06<00:00, 828.34it/s, agent0/loss=27.653, env_step=41400, gradient_step=690, len=6, n/ep=100, n/st=600, rew=2.45]
Epoch #7: 6001it [00:07, 815.55it/s, agent0/loss=27.796, env_step=42000, gradient_step=700, len=6, n/ep=100, n/st=600, rew=2.46]


Epoch #8:  70%|#######   | 4200/6000 [00:05<00:02, 812.41it/s, agent0/loss=26.548, env_step=46200, gradient_step=770, len=6, n/ep=100, n/st=600, rew=2.05]
Epoch #8: 6001it [00:07, 807.77it/s, agent0/loss=25.765, env_step=48000, gradient_step=800, len=6, n/ep=100, n/st=600, rew=2.37]



Epoch #9:  80%|########  | 4800/6000 [00:06<00:01, 751.86it/s, agent0/loss=24.031, env_step=52800, gradient_step=880, len=6, n/ep=100, n/st=600, rew=1.75]
Epoch #9: 6001it [00:07, 798.18it/s, agent0/loss=23.579, env_step=54000, gradient_step=900, len=6, n/ep=100, n/st=600, rew=2.18]



Epoch #10:  90%|######### | 5400/6000 [00:06<00:00, 804.37it/s, agent0/loss=22.220, env_step=58800, gradient_step=980, len=6, n/ep=100, n/st=600, rew=2.46]
Epoch #10: 6001it [00:07, 797.60it/s, agent0/loss=21.991, env_step=60000, gradient_step=1000, len=6, n/ep=100, n/st=600, rew=2.22]



Epoch #11:  90%|######### | 5400/6000 [00:06<00:00, 778.17it/s, agent0/loss=22.882, env_step=65400, gradient_step=1090, len=6, n/ep=100, n/st=600, rew=1.76]
Epoch #11: 6001it [00:07, 788.10it/s, agent0/loss=22.756, env_step=66000, gradient_step=1100, len=6, n/ep=100, n/st=600, rew=1.90]


Epoch #12: 6001it [00:07, 821.72it/s, agent0/loss=21.136, env_step=72000, gradient_step=1200, len=6, n/ep=100, n/st=600, rew=2.16]
Epoch #13:   0%|          | 0/6000 [00:00<?, ?it/s]



Epoch #13:  90%|######### | 5400/6000 [00:06<00:00, 854.13it/s, agent0/loss=19.726, env_step=76800, gradient_step=1280, len=6, n/ep=100, n/st=600, rew=1.98]
Epoch #13: 6001it [00:06, 866.74it/s, agent0/loss=19.744, env_step=78000, gradient_step=1300, len=6, n/ep=100, n/st=600, rew=2.17]



Epoch #14:  90%|######### | 5400/6000 [00:06<00:00, 775.21it/s, agent0/loss=18.027, env_step=83400, gradient_step=1390, len=6, n/ep=100, n/st=600, rew=1.74]
Epoch #14: 6001it [00:07, 779.46it/s, agent0/loss=17.928, env_step=84000, gradient_step=1400, len=6, n/ep=100, n/st=600, rew=2.15]



Epoch #15: 100%|##########| 6000/6000 [00:07<00:00, 813.45it/s, agent0/loss=17.223, env_step=89400, gradient_step=1490, len=6, n/ep=100, n/st=600, rew=2.29]
Epoch #15: 6001it [00:07, 793.90it/s, agent0/loss=17.150, env_step=90000, gradient_step=1500, len=6, n/ep=100, n/st=600, rew=2.23]


