
Best Saved













Epoch #1:  98%|#########7| 23400/24000 [00:28<00:00, 762.20it/s, agent0/loss=2.118, env_step=23400, gradient_step=390, len=24, n/ep=20, n/st=600, rew=1.70]
Epoch #1: 24001it [00:28, 834.21it/s, agent0/loss=2.108, env_step=24000, gradient_step=400, len=24, n/ep=30, n/st=600, rew=0.43]













Epoch #2:  98%|#########7| 23400/24000 [00:27<00:00, 873.45it/s, agent0/loss=2.337, env_step=46800, gradient_step=780, len=24, n/ep=30, n/st=600, rew=0.80]
Epoch #2: 24001it [00:28, 847.54it/s, agent0/loss=2.165, env_step=48000, gradient_step=800, len=24, n/ep=30, n/st=600, rew=1.30]













Epoch #3:  98%|#########7| 23400/24000 [00:26<00:00, 825.70it/s, agent0/loss=2.166, env_step=71400, gradient_step=1190, len=24, n/ep=20, n/st=600, rew=0.85]
Epoch #3: 24001it [00:27, 873.84it/s, agent0/loss=2.062, env_step=72000, gradient_step=1200, len=24, n/ep=30, n/st=600, rew=1.93]













Epoch #4:  95%|#########5| 22800/24000 [00:27<00:01, 849.46it/s, agent0/loss=2.572, env_step=94800, gradient_step=1580, len=24, n/ep=30, n/st=600, rew=0.77]
Epoch #4: 24001it [00:28, 840.56it/s, agent0/loss=2.557, env_step=96000, gradient_step=1600, len=24, n/ep=30, n/st=600, rew=0.67]













Epoch #5:  98%|#########7| 23400/24000 [00:26<00:00, 835.52it/s, agent0/loss=2.524, env_step=118800, gradient_step=1980, len=24, n/ep=30, n/st=600, rew=3.90]
Epoch #5: 24001it [00:27, 864.05it/s, agent0/loss=2.619, env_step=120000, gradient_step=2000, len=24, n/ep=30, n/st=600, rew=1.60]













Epoch #6:  98%|#########7| 23400/24000 [00:27<00:00, 934.42it/s, agent0/loss=2.488, env_step=143400, gradient_step=2390, len=24, n/ep=21, n/st=600, rew=2.00]
Epoch #6: 24001it [00:27, 867.17it/s, agent0/loss=2.485, env_step=144000, gradient_step=2400, len=24, n/ep=29, n/st=600, rew=0.86]












Epoch #7: 24001it [00:27, 879.94it/s, agent0/loss=2.450, env_step=168000, gradient_step=2800, len=24, n/ep=29, n/st=600, rew=1.24]
Epoch #8:   0%|          | 0/24000 [00:00<?, ?it/s]














Epoch #8:  98%|#########7| 23400/24000 [00:28<00:00, 817.16it/s, agent0/loss=2.489, env_step=190800, gradient_step=3180, len=24, n/ep=29, n/st=600, rew=0.62]
Epoch #8: 24001it [00:29, 824.38it/s, agent0/loss=2.436, env_step=192000, gradient_step=3200, len=24, n/ep=29, n/st=600, rew=1.00]













Epoch #9:  95%|#########5| 22800/24000 [00:27<00:01, 870.12it/s, agent0/loss=2.438, env_step=214800, gradient_step=3580, len=24, n/ep=29, n/st=600, rew=1.97]
Epoch #9: 24001it [00:28, 845.77it/s, agent0/loss=2.418, env_step=216000, gradient_step=3600, len=24, n/ep=29, n/st=600, rew=0.34]













Epoch #10:  95%|#########5| 22800/24000 [00:26<00:01, 860.01it/s, agent0/loss=2.615, env_step=238800, gradient_step=3980, len=24, n/ep=30, n/st=600, rew=0.60]
Epoch #10: 24001it [00:28, 856.66it/s, agent0/loss=2.554, env_step=240000, gradient_step=4000, len=24, n/ep=30, n/st=600, rew=0.87]














Epoch #11:  98%|#########7| 23400/24000 [00:28<00:00, 843.41it/s, agent0/loss=2.614, env_step=262800, gradient_step=4380, len=24, n/ep=30, n/st=600, rew=0.43]
Epoch #11: 24001it [00:29, 813.56it/s, agent0/loss=2.522, env_step=264000, gradient_step=4400, len=24, n/ep=30, n/st=600, rew=0.90]














Epoch #12:  95%|#########5| 22800/24000 [00:28<00:01, 824.60it/s, agent0/loss=2.473, env_step=286800, gradient_step=4780, len=24, n/ep=30, n/st=600, rew=0.47]
Epoch #12: 24001it [00:29, 802.89it/s, agent0/loss=2.395, env_step=288000, gradient_step=4800, len=24, n/ep=30, n/st=600, rew=0.43]













Epoch #13:  95%|#########5| 22800/24000 [00:26<00:01, 876.26it/s, agent0/loss=2.876, env_step=310800, gradient_step=5180, len=24, n/ep=29, n/st=600, rew=0.62]
Epoch #13: 24001it [00:27, 864.09it/s, agent0/loss=2.769, env_step=312000, gradient_step=5200, len=23, n/ep=30, n/st=600, rew=3.13]













Epoch #14:  98%|#########7| 23400/24000 [00:26<00:00, 916.82it/s, agent0/loss=2.423, env_step=335400, gradient_step=5590, len=24, n/ep=20, n/st=600, rew=0.95]
